10 1117 3892
3 146     609.104126 446.262909
1 147     234.483719 769.474915
2 147     278.751587 703.703064
1 148     301.631653 956.366028
2 148     363.187378 907.797241
3 148     352.576569 881.987732
4 148     285.838593 788.236816
5 148     297.252533 765.059631
6 148     488.237030 749.898926
1 149     280.110779 964.510925
2 149     342.759613 918.904480
3 149     331.642181 891.489258
5 149     273.689117 774.213623
1 150     266.902649 492.475403
2 150     323.655151 445.138306
3 150     315.978210 421.292908
5 150     268.895172 302.626434
1 151     520.739197 440.334595
2 151     574.478821 382.172821
3 151     567.539612 350.187134
1 152     329.043976 462.137848
2 152     389.626404 417.349396
3 152     381.409760 397.373291
5 152     336.480560 282.653168
1 153     351.821594 409.574066
5 153     346.228027 177.126007
1 154     285.485138 1090.011230
2 154     346.877472 1038.884888
3 154     336.771393 1003.524536
1 155     432.210449 577.852112
2 155     496.322571 537.552979
3 155     486.736908 524.106934
4 155     433.654388 461.858307
5 155     442.399689 418.442932
6 155     639.821838 448.130524
7 155     705.931946 371.443939
8 155     500.696808 799.476501
9 155     633.889587 676.768250
1 156     217.745087 616.937500
2 156     272.135956 568.814514
3 156     264.045837 538.651123
4 156     202.616028 450.372162
9 156     390.434692 624.289673
1 157     332.174835 421.418823
3 157     387.090942 336.750519
4 157     323.627106 224.940781
5 157     338.073486 204.422195
1 158     120.732628 784.404541
2 158     166.580017 711.160095
3 158     171.534088 649.797668
4 158     104.578682 488.893494
1 159     105.440231 814.101562
2 159     151.420044 740.594360
3 159     156.088013 678.339172
5 159     97.502663 524.026489
6 159     282.534332 444.150482
7 159     339.831238 299.162445
1 160     90.387413 844.166382
2 160     136.731995 770.731262
4 160     66.541687 548.961670
5 160     82.022789 552.761169
1 161     322.878021 871.934204
2 161     378.245117 826.606506
3 161     373.820618 792.737183
1 162     257.464508 993.607666
2 162     318.263000 945.270264
3 162     308.394714 913.974182
1 163     508.321259 450.456421
2 163     567.386414 396.999634
1 164     542.702026 452.149811
2 164     601.501831 394.206238
3 164     600.817139 365.925262
4 164     542.655823 246.003448
5 164     563.299316 242.780991
1 165     414.094452 431.476074
2 165     472.415283 380.565247
1 166     523.625122 516.266113
2 166     584.689575 467.001038
3 166     580.891541 447.413025
4 166     534.415955 371.282684
5 166     540.250000 333.958771
6 166     744.472961 346.946869
7 166     817.074341 265.619354
8 166     621.541565 684.971008
9 166     745.613220 568.233459
1 167     399.306580 573.587036
3 167     456.010834 513.566284
5 167     410.939789 406.889984
6 167     605.527405 438.913574
1 168     413.459503 576.434631
2 168     477.400726 537.273987
3 168     467.554932 524.024231
4 168     413.744446 461.460724
5 168     422.835052 417.948547
6 168     619.490601 447.449738
7 168     684.951538 370.382751
8 168     478.943359 798.580505
9 168     612.821289 675.774231
1 169     218.232544 671.789795
2 169     276.944153 626.181702
3 169     270.081970 598.872437
5 169     217.926666 479.861908
1 170     67.643280 676.257568
3 170     118.962555 536.815369
5 170     64.133942 377.977997
1 171     273.996521 993.084412
2 171     336.278381 947.795654
3 171     326.281097 919.897522
4 171     258.386963 826.557861
5 171     270.288239 803.147034
1 172     242.689850 1025.857788
2 172     304.261353 976.555176
3 172     294.371552 943.902161
4 172     224.579071 842.146973
5 172     237.234985 822.650879
1 173     220.992752 1067.565552
3 173     272.853973 988.309631
1 174     208.183731 1070.015991
3 174     255.445663 988.833923
1 175     289.823151 1005.608704
